,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
0,10,0.5,15,0.5,0,2.0,2,0.0219974517822265,1.0,0.0087509155273437,2.0,0.0049953460693359,1.0
1,10,0.5,15,0.5,1,0.0,2,0.0,0.0,0.0010051727294921,0.0,0.0019130706787109,0.0
2,10,0.5,15,0.5,2,0.0,3,0.0011062622070312,0.0,0.0010108947753906,0.0,0.0,0.0
3,10,0.5,15,0.5,3,2.0,6,0.0019130706787109,1.0,0.0019149780273437,0.0,0.0051383972167968,0.0
4,10,0.5,15,0.5,4,0.0,5,0.0009994506835937,0.0,0.0009975433349609,0.0,0.0020008087158203,0.0
5,10,0.5,15,0.5,5,0.0,2,0.0,0.0,0.0009994506835937,0.0,0.0009994506835937,0.0
6,10,0.5,15,0.5,6,0.0,3,0.0,0.0,0.0,0.0,0.0010013580322265,0.0
7,10,0.5,15,0.5,7,0.0,5,0.0,0.0,0.0,0.0,0.0039997100830078,0.0
8,10,0.5,15,0.5,8,0.0,1,0.0009346008300781,0.0,0.0,0.0,0.0020809173583984,0.0
9,10,0.5,15,0.5,9,2.0,4,0.0019130706787109,1.0,0.0,0.0,0.0082721710205078,0.0
10,10,0.5,15,1.0,0,5.0,4,0.0029487609863281,1.0,0.0060844421386718,0.0,0.0030117034912109,0.0
11,10,0.5,15,1.0,1,2.0,6,0.0021953582763671,2.0,0.0029964447021484,2.0,0.0020503997802734,1.0
12,10,0.5,15,1.0,2,4.0,5,0.0022029876708984,2.0,0.0009994506835937,0.0,0.0079994201660156,0.0
13,10,0.5,15,1.0,3,2.0,5,0.0020103454589843,1.0,0.0264530181884765,0.0,0.0263271331787109,0.0
14,10,0.5,15,1.0,4,6.0,8,0.0030059814453125,1.0,0.0059986114501953,0.0,0.0160140991210937,0.0
15,10,0.5,15,1.0,5,2.0,2,0.0016899108886718,2.0,0.0050258636474609,0.0,0.0104541778564453,0.0
16,10,0.5,15,1.0,6,5.0,6,0.0018901824951171,2.0,0.003000259399414,0.0,0.0138721466064453,0.0
17,10,0.5,15,1.0,7,6.0,6,0.0039253234863281,2.0,0.2029323577880859,0.0,0.1474056243896484,0.0
18,10,0.5,15,1.0,8,6.0,4,0.0020008087158203,1.0,0.0009994506835937,0.0,0.0103721618652343,0.0
19,10,0.5,15,1.0,9,7.0,6,0.0038986206054687,2.0,0.0437126159667968,0.0,0.0939674377441406,0.0
20,10,0.5,15,1.5,0,7.0,7,0.0019989013671875,1.0,0.0060005187988281,0.0,0.0093231201171875,0.0
21,10,0.5,15,1.5,1,7.0,5,0.0111312866210937,2.0,0.2292232513427734,2.0,0.2688579559326172,1.0
22,10,0.5,15,1.5,2,3.0,6,0.0149517059326171,1.0,0.0360851287841796,0.0,0.015869140625,0.0
23,10,0.5,15,1.5,3,10.0,7,0.0124645233154296,2.0,0.0361347198486328,0.0,0.0471439361572265,0.0
24,10,0.5,15,1.5,4,8.0,5,0.0170059204101562,2.0,0.081918716430664,2.0,0.1109733581542968,1.0
25,10,0.5,15,1.5,5,10.0,6,0.0207862854003906,3.0,0.0329799652099609,0.0,0.0312538146972656,0.0
26,10,0.5,15,1.5,6,10.0,6,0.0322437286376953,3.0,0.9293537139892578,3.0,0.6707248687744141,1.0
27,10,0.5,15,1.5,7,10.0,8,0.0114288330078125,3.0,6.391252517700195,4.0,2.781087875366211,2.0
28,10,0.5,15,1.5,8,6.0,6,0.0063495635986328,2.0,0.0939311981201171,0.0,0.0250835418701171,0.0
29,10,0.5,15,1.5,9,10.0,8,0.0149269104003906,3.0,5.199047088623047,4.0,1.8337993621826167,1.0
30,10,0.1,11,0.5,0,0.0,3,0.0,0.0,0.0010356903076171,0.0,0.003021240234375,0.0
31,10,0.1,11,0.5,1,0.0,4,0.0010013580322265,0.0,0.0,0.0,0.0039997100830078,0.0
32,10,0.1,11,0.5,2,3.0,2,0.0019950866699218,1.0,0.0010013580322265,0.0,0.0009956359863281,0.0
33,10,0.1,11,0.5,3,0.0,4,0.0010013580322265,0.0,0.0010814666748046,0.0,0.0020179748535156,0.0
34,10,0.1,11,0.5,4,0.0,5,0.0,0.0,0.0,0.0,0.0019874572753906,0.0
35,10,0.1,11,0.5,5,0.0,3,0.0,0.0,0.0,0.0,0.0010833740234375,0.0
36,10,0.1,11,0.5,6,3.0,4,0.0020008087158203,1.0,0.0,0.0,0.0043106079101562,0.0
37,10,0.1,11,0.5,7,3.0,6,0.0019187927246093,1.0,0.0070667266845703,0.0,0.0070514678955078,0.0
38,10,0.1,11,0.5,8,0.0,2,0.0011482238769531,0.0,0.0,0.0,0.0011043548583984,0.0
39,10,0.1,11,0.5,9,0.0,4,0.0,0.0,0.0020866394042968,0.0,0.0060348510742187,0.0
40,10,0.1,11,1.0,0,4.0,4,0.0022964477539062,1.0,0.0049953460693359,4.0,0.0101261138916015,1.0
41,10,0.1,11,1.0,1,7.0,6,0.0028877258300781,2.0,0.0823268890380859,5.0,0.07122802734375,1.0
42,10,0.1,11,1.0,2,0.0,5,0.0009937286376953,0.0,0.0,0.0,0.0070819854736328,0.0
43,10,0.1,11,1.0,3,7.0,6,0.0050640106201171,2.0,0.0385761260986328,2.0,0.0407676696777343,1.0
44,10,0.1,11,1.0,4,8.0,7,0.0040321350097656,2.0,0.0561504364013671,4.0,0.0902423858642578,2.0
45,10,0.1,11,1.0,5,4.0,5,0.0030059814453125,1.0,0.0269031524658203,4.0,0.0140094757080078,1.0
46,10,0.1,11,1.0,6,10.0,6,0.0043716430664062,1.0,0.1109619140625,5.0,0.0356330871582031,1.0
47,10,0.1,11,1.0,7,9.0,7,0.0030021667480468,2.0,0.1005439758300781,7.0,0.0338497161865234,1.0
48,10,0.1,11,1.0,8,6.0,4,0.0020961761474609,2.0,0.0189971923828125,3.0,0.0239238739013671,1.0
49,10,0.1,11,1.0,9,8.0,4,0.0040874481201171,2.0,0.1536483764648437,8.0,0.0975799560546875,1.0
50,10,0.1,11,1.5,0,10.0,7,0.011087417602539,3.0,0.2081508636474609,9.0,0.20733642578125,2.0
51,10,0.1,11,1.5,1,10.0,4,0.0058841705322265,2.0,1.0125408172607422,10.0,0.8498001098632812,2.0
52,10,0.1,11,1.5,2,9.0,6,0.0050487518310546,3.0,0.2161598205566406,8.0,0.1972217559814453,2.0
53,10,0.1,11,1.5,3,8.0,8,0.0090503692626953,3.0,0.2322158813476562,7.0,0.1729011535644531,2.0
54,10,0.1,11,1.5,4,10.0,7,0.0121574401855468,4.0,0.4803047180175781,10.0,0.4450531005859375,2.0
55,10,0.1,11,1.5,5,9.0,5,0.0049953460693359,2.0,0.1939163208007812,8.0,0.1332302093505859,1.0
56,10,0.1,11,1.5,6,10.0,9,0.0170459747314453,4.0,0.5394668579101562,9.0,0.6226177215576172,2.0
57,10,0.1,11,1.5,7,9.0,7,0.0040092468261718,3.0,0.7143592834472656,9.0,0.5204696655273438,2.0
58,10,0.1,11,1.5,8,8.0,6,0.0089969635009765,2.0,0.2879199981689453,8.0,0.2703666687011719,2.0
59,10,0.1,11,1.5,9,10.0,7,0.0119991302490234,5.0,1.737712860107422,10.0,1.4710731506347656,3.0
60,10,0.2,12,0.5,0,0.0,2,0.0,0.0,0.0,0.0,0.0019969940185546,0.0
61,10,0.2,12,0.5,1,2.0,4,0.0019989013671875,1.0,0.0010013580322265,0.0,0.0031909942626953,0.0
62,10,0.2,12,0.5,2,0.0,2,0.0,0.0,0.0009937286376953,0.0,0.0009937286376953,0.0
63,10,0.2,12,0.5,3,0.0,3,0.0,0.0,0.0010185241699218,0.0,0.0050182342529296,0.0
64,10,0.2,12,0.5,4,2.0,4,0.0020027160644531,1.0,0.0059986114501953,2.0,0.0029869079589843,1.0
65,10,0.2,12,0.5,5,2.0,3,0.0019855499267578,1.0,0.003000259399414,2.0,0.002023696899414,1.0
66,10,0.2,12,0.5,6,0.0,3,0.0,0.0,0.0008144378662109,0.0,0.0070171356201171,0.0
67,10,0.2,12,0.5,7,0.0,6,0.0,0.0,0.0027599334716796,0.0,0.0065498352050781,0.0
68,10,0.2,12,0.5,8,0.0,4,0.0,0.0,0.0009956359863281,0.0,0.0009803771972656,0.0
69,10,0.2,12,0.5,9,9.0,3,0.0030155181884765,2.0,0.0099811553955078,0.0,0.0090217590332031,0.0
70,10,0.2,12,1.0,0,3.0,6,0.0020809173583984,1.0,0.0059185028076171,0.0,0.008005142211914,0.0
71,10,0.2,12,1.0,1,7.0,5,0.0030021667480468,2.0,0.0060043334960937,0.0,0.0150337219238281,0.0
72,10,0.2,12,1.0,2,6.0,4,0.0019989013671875,1.0,0.008127212524414,0.0,0.0119819641113281,0.0
73,10,0.2,12,1.0,3,8.0,6,0.0050010681152343,2.0,0.1140861511230468,7.0,0.0657253265380859,1.0
74,10,0.2,12,1.0,4,3.0,6,0.0019989013671875,2.0,0.0109996795654296,0.0,0.0170860290527343,0.0
75,10,0.2,12,1.0,5,3.0,5,0.0020103454589843,2.0,0.0070838928222656,0.0,0.0079994201660156,0.0
76,10,0.2,12,1.0,6,8.0,5,0.004220962524414,4.0,0.0143203735351562,2.0,0.0239448547363281,2.0
77,10,0.2,12,1.0,7,8.0,9,0.0060253143310546,3.0,0.4642086029052734,7.0,0.2268447875976562,1.0
78,10,0.2,12,1.0,8,6.0,6,0.0020809173583984,1.0,0.0270671844482421,4.0,0.0269680023193359,1.0
79,10,0.2,12,1.0,9,10.0,5,0.0020942687988281,1.0,0.0310020446777343,3.0,0.0156307220458984,1.0
80,10,0.2,12,1.5,0,8.0,6,0.0050868988037109,3.0,0.3602142333984375,8.0,0.0884914398193359,1.0
81,10,0.2,12,1.5,1,10.0,8,0.0200004577636718,4.0,5.794586181640625,8.0,1.903247833251953,3.0
82,10,0.2,12,1.5,2,9.0,6,0.0040855407714843,2.0,0.0353507995605468,2.0,0.2080707550048828,2.0
83,10,0.2,12,1.5,3,8.0,7,0.0030803680419921,2.0,0.3736228942871094,7.0,0.1600379943847656,2.0
84,10,0.2,12,1.5,4,10.0,9,0.0050277709960937,2.0,0.0231056213378906,0.0,0.0472831726074218,0.0
85,10,0.2,12,1.5,5,7.0,6,0.0040760040283203,2.0,0.13543701171875,7.0,0.117685317993164,1.0
86,10,0.2,12,1.5,6,9.0,6,0.0030517578125,2.0,0.3166027069091797,7.0,0.208282470703125,1.0
87,10,0.2,12,1.5,7,10.0,8,0.0209999084472656,4.0,38.63478469848633,9.0,2.5103816986083984,3.0
88,10,0.2,12,1.5,8,8.0,4,0.0070018768310546,2.0,0.739410400390625,4.0,0.4983463287353515,1.0
89,10,0.2,12,1.5,9,10.0,6,0.0364055633544921,3.0,1.1469192504882812,7.0,0.7072925567626953,2.0
90,20,0.1,22,0.5,0,4.0,4,0.0030174255371093,1.0,0.0100002288818359,0.0,0.0204658508300781,0.0
91,20,0.1,22,0.5,1,0.0,6,0.0009937286376953,0.0,0.0019950866699218,0.0,0.006998062133789,0.0
92,20,0.1,22,0.5,2,2.0,6,0.003000259399414,1.0,0.0049057006835937,2.0,0.008157730102539,1.0
93,20,0.1,22,0.5,3,0.0,8,0.0,0.0,0.0040950775146484,0.0,0.0061378479003906,0.0
94,20,0.1,22,0.5,4,3.0,8,0.003000259399414,1.0,0.0070228576660156,3.0,0.0100135803222656,1.0
95,20,0.1,22,0.5,5,0.0,6,0.0,0.0,0.0020008087158203,0.0,0.0129146575927734,0.0
96,20,0.1,22,0.5,6,3.0,5,0.0030078887939453,1.0,0.0112495422363281,3.0,0.0175628662109375,1.0
97,20,0.1,22,0.5,7,0.0,8,0.0009956359863281,0.0,0.0030879974365234,0.0,0.0221710205078125,0.0
98,20,0.1,22,0.5,8,0.0,8,0.0,0.0,0.0020027160644531,0.0,0.0110015869140625,0.0
99,20,0.1,22,0.5,9,5.0,7,0.0039215087890625,3.0,0.0073261260986328,0.0,0.0120620727539062,0.0
100,20,0.1,22,1.0,0,10.0,9,0.0079994201660156,2.0,0.0979728698730468,8.0,0.144287109375,2.0
101,20,0.1,22,1.0,1,15.0,11,0.0129985809326171,3.0,1.7635822296142578,9.0,0.9535121917724608,1.0
102,20,0.1,22,1.0,2,9.0,12,0.0049991607666015,3.0,0.0500240325927734,4.0,0.0316066741943359,1.0
103,20,0.1,22,1.0,3,15.0,14,0.0080833435058593,3.0,0.0753803253173828,2.0,0.0671215057373046,1.0
104,20,0.1,22,1.0,4,13.0,15,0.0059986114501953,3.0,0.0140914916992187,0.0,0.0189571380615234,0.0
105,20,0.1,22,1.0,5,9.0,11,0.010995864868164,2.0,0.2011146545410156,8.0,0.1069679260253906,1.0
106,20,0.1,22,1.0,6,17.0,13,0.0225391387939453,3.0,0.1815433502197265,6.0,0.1361026763916015,1.0
107,20,0.1,22,1.0,7,18.0,17,0.0340766906738281,3.0,1.8372802734375,10.0,0.8099174499511719,2.0
108,20,0.1,22,1.0,8,2.0,11,0.0040645599365234,1.0,0.0050220489501953,0.0,0.0250453948974609,0.0
109,20,0.1,22,1.0,9,18.0,14,0.0640087127685546,5.0,100.21462059020996,999.0,3.653274536132813,2.0
110,20,0.1,22,1.5,0,19.0,13,0.0683135986328125,3.0,31.37885093688965,20.0,2.034423828125,2.0
111,20,0.1,22,1.5,1,19.0,15,0.0367069244384765,5.0,100.02019500732422,999.0,8.128150939941406,3.0
112,20,0.1,22,1.5,2,16.0,12,0.0119895935058593,3.0,0.2100296020507812,3.0,0.1914863586425781,1.0
113,20,0.1,22,1.5,3,15.0,14,0.0187644958496093,4.0,17.64697265625,14.0,5.886745452880859,3.0
114,20,0.1,22,1.5,4,18.0,14,0.0162563323974609,3.0,14.67086410522461,10.0,2.090980529785156,1.0
115,20,0.1,22,1.5,5,15.0,12,0.0139980316162109,4.0,39.74677467346192,16.0,3.599040985107422,2.0
116,20,0.1,22,1.5,6,19.0,15,0.232767105102539,6.0,100.05193710327148,999.0,25.08597183227539,3.0
117,20,0.1,22,1.5,7,17.0,16,0.75140380859375,6.0,100.13932991027832,999.0,774.3973197937012,4.0
118,20,0.1,22,1.5,8,18.0,13,0.2275581359863281,6.0,100.04223251342772,999.0,15.551088333129885,3.0
119,20,0.1,22,1.5,9,17.0,17,0.31878662109375,4.0,100.04445838928224,999.0,10.461856842041016,2.0
120,20,0.2,24,0.5,0,0.0,8,0.0,0.0,0.0059967041015625,0.0,0.0049991607666015,0.0
121,20,0.2,24,0.5,1,0.0,7,0.0009994506835937,0.0,0.003000259399414,0.0,0.0049858093261718,0.0
122,20,0.2,24,0.5,2,0.0,3,0.0009994506835937,0.0,0.0011405944824218,0.0,0.003509521484375,0.0
123,20,0.2,24,0.5,3,4.0,7,0.0039997100830078,2.0,0.0089969635009765,0.0,0.01422119140625,0.0
124,20,0.2,24,0.5,4,0.0,10,0.0010128021240234,0.0,0.003997802734375,0.0,0.0170745849609375,0.0
125,20,0.2,24,0.5,5,4.0,4,0.0040779113769531,1.0,0.0073070526123046,4.0,0.0190563201904296,1.0
126,20,0.2,24,0.5,6,0.0,6,0.0,0.0,0.0029964447021484,0.0,0.0132350921630859,0.0
127,20,0.2,24,0.5,7,4.0,7,0.0039901733398437,2.0,0.0075416564941406,2.0,0.0109920501708984,1.0
128,20,0.2,24,0.5,8,5.0,6,0.0042610168457031,1.0,0.0020999908447265,0.0,0.0039710998535156,0.0
129,20,0.2,24,0.5,9,0.0,7,0.0,0.0,0.0059852600097656,0.0,0.0169391632080078,0.0
130,20,0.2,24,1.0,0,4.0,11,0.0040321350097656,2.0,0.0179958343505859,4.0,0.0281753540039062,1.0
131,20,0.2,24,1.0,1,13.0,10,0.0159797668457031,3.0,0.8878726959228516,6.0,0.1898269653320312,1.0
132,20,0.2,24,1.0,2,7.0,9,0.0070037841796875,1.0,0.0049991607666015,0.0,0.0792999267578125,0.0
133,20,0.2,24,1.0,3,11.0,9,0.0080127716064453,3.0,0.0190086364746093,0.0,0.0229873657226562,0.0
134,20,0.2,24,1.0,4,11.0,15,0.0051765441894531,3.0,0.0543937683105468,0.0,0.0818653106689453,0.0
135,20,0.2,24,1.0,5,10.0,12,0.006082534790039,2.0,0.0508937835693359,0.0,0.0578289031982421,0.0
136,20,0.2,24,1.0,6,14.0,10,0.005990982055664,2.0,0.1311912536621093,0.0,0.0977230072021484,0.0
137,20,0.2,24,1.0,7,12.0,11,0.0129261016845703,3.0,1.4424762725830078,3.0,1.408041000366211,2.0
138,20,0.2,24,1.0,8,12.0,12,0.0133419036865234,3.0,0.0291328430175781,0.0,0.0333461761474609,0.0
139,20,0.2,24,1.0,9,15.0,12,0.0060482025146484,2.0,0.2081241607666015,2.0,0.3314208984375,1.0
140,20,0.2,24,1.5,0,17.0,13,0.0488338470458984,4.0,18.941953659057617,7.0,5.812610626220703,2.0
141,20,0.2,24,1.5,1,19.0,13,0.2579517364501953,5.0,100.46213912963869,999.0,85.69298362731934,2.0
142,20,0.2,24,1.5,2,12.0,13,0.0340499877929687,3.0,0.0880622863769531,0.0,0.1865081787109375,0.0
143,20,0.2,24,1.5,3,12.0,12,0.0060005187988281,1.0,1.0095348358154297,0.0,0.439310073852539,0.0
144,20,0.2,24,1.5,4,18.0,15,0.427093505859375,6.0,100.05267333984376,999.0,12.794660568237305,1.0
145,20,0.2,24,1.5,5,17.0,11,0.097208023071289,6.0,100.08714294433594,999.0,15.334903717041016,2.0
146,20,0.2,24,1.5,6,18.0,11,0.059000015258789,4.0,62.7106819152832,7.0,5.350669860839844,1.0
147,20,0.2,24,1.5,7,20.0,15,0.3902149200439453,5.0,100.05840873718262,999.0,21.76657485961914,2.0
148,20,0.2,24,1.5,8,17.0,12,0.1799335479736328,4.0,4.868677139282227,5.0,3.019275665283203,2.0
149,20,0.2,24,1.5,9,16.0,16,0.1083831787109375,6.0,100.07489013671876,999.0,239.06126976013184,3.0
150,20,0.5,30,0.5,0,0.0,4,0.0010013580322265,0.0,0.0020160675048828,0.0,0.0044631958007812,0.0
151,20,0.5,30,0.5,1,3.0,9,0.0089950561523437,2.0,0.011758804321289,0.0,0.0279979705810546,0.0
152,20,0.5,30,0.5,2,0.0,5,0.0012741088867187,0.0,0.0020008087158203,0.0,0.0119266510009765,0.0
153,20,0.5,30,0.5,3,0.0,5,0.0010719299316406,0.0,0.0070114135742187,0.0,0.0067081451416015,0.0
154,20,0.5,30,0.5,4,0.0,6,0.0010032653808593,0.0,0.0019969940185546,0.0,0.004983901977539,0.0
